Accident_ID,Date,Time,Severity,Weather_Condition,Road_Type,Visibility,Temperature_C,Traffic_Density,Speed_Limit,Traffic_Signal,Lighting_Condition,Vehicle_Count,Driver_Age,Alcohol_Involved,County,Road_Name,Police_Response_Time
14,2024-01-01,13:00:00,Minor,Snow,Rural,1.822831025617154,9.118340138094263,19.343534295648258,120,No,Dusk,3,73,No,Meru,Jogoo Road,45
15,2024-01-01,14:00:00,Minor,Rain,Intersection,5.557996481614563,19.851697961984407,64.15044812562518,120,No,Dusk,6,64,No,Machakos,Nakuru-Eldoret Highway,41
16,2024-01-01,15:00:00,Minor,Snow,Intersection,4.405408224706712,8.361998626750768,25.982813794029948,30,Yes,Daylight,1,30,No,Nyeri,Kangundo Road,42
17,2024-01-01,16:00:00,Minor,Clear,Rural,3.7997615994590053,24.307962023611218,88.60861088135164,70,No,Night,2,68,No,Thika,Mombasa-Malindi Highway,55
18,2024-01-01,17:00:00,Minor,Rain,Rural,9.048416784029088,11.181095422954787,89.56899442666165,120,No,Night,7,71,No,Kakamega,Meru-Maua Road,16
19,2024-01-01,18:00:00,Minor,Clear,Intersection,0.7073222693671503,-2.2658719876016553,29.72872042813265,30,No,Dusk,1,33,No,Nyeri,Mombasa-Malindi Highway,41
20,2024-01-01,19:00:00,Minor,Snow,Rural,6.806002018668097,26.35039369936429,22.99937539632405,50,Yes,Night,7,35,No,Meru,Mombasa-Malindi Highway,41
21,2024-01-01,20:00:00,Moderate,Fog,Urban,9.65224712502873,6.43033298370824,41.13039720662313,120,Yes,Night,4,24,No,Thika,Nakuru-Eldoret Highway,35
22,2024-01-01,21:00:00,Minor,Fog,Urban,5.821597742887499,12.310675183970506,24.05315851801487,120,No,Daylight,6,62,No,Kakamega,Kangundo Road,22
23,2024-01-01,22:00:00,Minor,Rain,Urban,9.399813389314373,22.417755328876062,67.23838432917036,30,Yes,Dusk,8,53,No,Kisumu,Kangundo Road,30
24,2024-01-01,23:00:00,Minor,Clear,Intersection,0.9964498532172258,8.29824628594848,82.60646845482856,70,No,Dusk,9,58,No,Kisumu,Kisumu-Busia Road,10
25,2024-01-02,00:00:00,Minor,Clear,Rural,4.478536531204533,-2.736573754131375,67.3092130911217,50,Yes,Daylight,6,47,No,Nakuru,Mombasa-Malindi Highway,13
26,2024-01-02,01:00:00,Moderate,Rain,Rural,2.971499014139486,9.956841880512544,82.43504472493495,120,No,Night,9,59,No,Kakamega,Nyeri-Nanyuki Road,15
27,2024-01-02,02:00:00,Minor,Fog,Highway,7.442799167316933,32.777943307772134,39.69921622074742,70,Yes,Dusk,4,58,No,Kakamega,Mombasa Road,35
28,2024-01-02,03:00:00,Minor,Snow,Highway,9.822322359723843,20.669375891942327,15.631697070886085,50,No,Night,6,24,No,Machakos,Mombasa Road,59
29,2024-01-02,04:00:00,Minor,Rain,Rural,2.937035593220354,21.85916594668828,73.79509473975922,90,No,Dusk,8,32,No,Kakamega,Jogoo Road,50
30,2024-01-02,05:00:00,Minor,Snow,Rural,6.714658714003708,20.291286145505595,36.047450514155386,90,Yes,Dusk,9,77,No,Meru,Nakuru-Eldoret Highway,6
31,2024-01-02,06:00:00,Moderate,Fog,Rural,2.381927511217531,2.9596855583774717,67.12708252291326,50,No,Dusk,3,57,No,Machakos,Mombasa-Malindi Highway,33
32,2024-01-02,07:00:00,Minor,Clear,Intersection,5.870637418430294,11.733354564091204,27.064394198176565,30,No,Dusk,2,36,No,Kakamega,Nyeri-Nanyuki Road,50
33,2024-01-02,08:00:00,Minor,Fog,Rural,4.907358623539194,25.03759193453273,8.122963480667266,50,No,Night,6,60,No,Mombasa,Jogoo Road,55
34,2024-01-02,09:00:00,Severe,Rain,Highway,9.734050631499603,-0.9450840978736341,99.25817954877634,50,No,Night,4,54,Yes,Nakuru,Kangundo Road,46
35,2024-01-02,10:00:00,Severe,Clear,Intersection,6.281009090616433,6.1141110435884904,15.620150793059928,30,Yes,Night,1,19,No,Nakuru,Mombasa Road,9
36,2024-01-02,11:00:00,Moderate,Rain,Rural,3.8203105348247783,6.0527643386341445,98.8420993963481,30,No,Night,8,59,Yes,Mombasa,Thika Superhighway,27
37,2024-01-02,12:00:00,Minor,Rain,Highway,1.5839099564353671,12.280757103780239,97.72799325664472,70,Yes,Daylight,9,65,No,Machakos,Kisumu-Busia Road,40
38,2024-01-02,13:00:00,Minor,Fog,Intersection,1.9368448729818784,34.214749637687405,79.38181039080396,70,Yes,Dusk,9,72,No,Kisumu,Nyeri-Nanyuki Road,11
39,2024-01-02,14:00:00,Moderate,Rain,Rural,2.6405108345367334,-2.2998981326471224,65.94229620819976,30,Yes,Dusk,2,30,No,Mombasa,Jogoo Road,17
40,2024-01-02,15:00:00,Minor,Fog,Rural,2.884183282732831,15.748039775223802,57.78070502510847,90,Yes,Dusk,9,57,No,Nyeri,Jogoo Road,46
41,2024-01-02,16:00:00,Minor,Clear,Rural,8.580852549490809,2.174587280488418,86.61015453778347,90,No,Daylight,7,58,No,Nairobi,Nyeri-Nanyuki Road,14
42,2024-01-02,17:00:00,Minor,Fog,Intersection,5.831616488683987,33.827061816389765,28.943952161948793,50,No,Night,5,60,No,Thika,Meru-Maua Road,40
43,2024-01-02,18:00:00,Minor,Clear,Highway,5.472213658056481,-0.467859810901432,46.7681212484877,120,Yes,Dusk,7,60,No,Kisumu,Thika Superhighway,20
44,2024-01-02,19:00:00,Severe,Fog,Highway,1.590304282757566,11.144040094463648,61.93899693665019,50,No,Night,9,72,No,Kisumu,Kangundo Road,19
45,2024-01-02,20:00:00,Minor,Snow,Urban,8.671327086819632,24.515399393384246,41.11904758694911,50,Yes,Night,8,75,No,Eldoret,Mombasa Road,57
46,2024-01-02,21:00:00,Moderate,Snow,Rural,7.366735880480595,23.182177121097812,42.7486454090268,120,No,Daylight,6,48,No,Kisumu,Mombasa-Malindi Highway,47
47,2024-01-02,22:00:00,Minor,Rain,Urban,1.142849438050015,11.909145475757292,33.02846675020844,30,No,Daylight,4,33,No,Nakuru,Nyeri-Nanyuki Road,23
48,2024-01-02,23:00:00,Minor,Fog,Urban,7.224433423682802,8.86096671810873,56.4231816684536,90,No,Night,1,59,No,Kisumu,Nakuru-Eldoret Highway,25
49,2024-01-03,00:00:00,Minor,Fog,Highway,5.663613064755138,10.904495142114822,85.0574528015116,50,Yes,Dusk,6,78,No,Nyeri,Thika Superhighway,39
50,2024-01-03,01:00:00,Minor,Clear,Intersection,1.2763907845943934,5.571050526345571,20.152837800631286,120,Yes,Dusk,3,73,No,Kisumu,Kisumu-Busia Road,19
51,2024-01-03,02:00:00,Severe,Rain,Intersection,4.853856094522237,3.2133175482719913,93.44330387534414,70,No,Daylight,6,61,Yes,Kakamega,Kisumu-Busia Road,52
52,2024-01-03,03:00:00,Moderate,Fog,Highway,5.104614727735446,14.3215879023556,68.90876537482296,50,Yes,Daylight,6,74,No,Nakuru,Nakuru-Eldoret Highway,18
53,2024-01-03,04:00:00,Severe,Rain,Intersection,2.0748581315511196,5.741350242704293,82.32732126800302,90,Yes,Daylight,4,23,No,Mombasa,Thika Superhighway,33
54,2024-01-03,05:00:00,Moderate,Snow,Urban,9.484132396502682,6.4984665958900045,55.619069263001165,30,No,Daylight,2,45,No,Mombasa,Jogoo Road,9
55,2024-01-03,06:00:00,Minor,Fog,Rural,8.57476602906629,21.27024253898228,77.95167014240634,50,Yes,Daylight,9,49,No,Meru,Kisumu-Busia Road,53
56,2024-01-03,07:00:00,Severe,Fog,Highway,6.855712204626529,33.741493267995686,1.620039733946721,50,No,Daylight,2,61,No,Nairobi,Jogoo Road,22
57,2024-01-03,08:00:00,Minor,Rain,Rural,4.891807829505768,19.145488022375005,81.83804247795352,120,No,Daylight,3,27,No,Nairobi,Meru-Maua Road,55
58,2024-01-03,09:00:00,Minor,Fog,Intersection,4.411772645052831,-1.9208213174013489,4.013885908536652,70,No,Dusk,1,67,No,Kakamega,Thika Superhighway,5
59,2024-01-03,10:00:00,Minor,Rain,Rural,6.684247937934065,-1.976655445837321,88.99133763628625,70,Yes,Daylight,7,35,No,Nairobi,Nyeri-Nanyuki Road,31
60,2024-01-03,11:00:00,Minor,Fog,Intersection,5.681602759365602,33.05692883382264,99.19627472386433,30,No,Daylight,1,21,Yes,Kisumu,Mombasa-Malindi Highway,31
61,2024-01-03,12:00:00,Minor,Clear,Intersection,1.0915945058779133,6.891631612293345,29.40674621767778,90,No,Dusk,9,26,No,Mombasa,Mombasa Road,29
62,2024-01-03,13:00:00,Minor,Rain,Urban,5.368775163318151,-1.3173205567009827,21.031855628579365,30,Yes,Dusk,1,24,No,Kisumu,Meru-Maua Road,45
63,2024-01-03,14:00:00,Moderate,Fog,Intersection,8.160834363711976,18.961783486015264,76.53633638580408,50,Yes,Night,5,67,No,Eldoret,Jogoo Road,25
64,2024-01-03,15:00:00,Minor,Snow,Urban,4.862778837171102,19.945951131610645,25.302634092025322,50,Yes,Daylight,7,25,No,Meru,Thika Superhighway,18
65,2024-01-03,16:00:00,Minor,Fog,Urban,0.9935874867655499,20.940192804747525,86.55623831722035,70,Yes,Daylight,3,60,No,Mombasa,Meru-Maua Road,56
66,2024-01-03,17:00:00,Minor,Snow,Urban,7.969642894148315,5.696081114301652,10.28425921574767,90,No,Daylight,9,24,No,Nairobi,Jogoo Road,57
67,2024-01-03,18:00:00,Minor,Snow,Highway,2.4129559302917567,-4.395572631420999,12.595519637935826,120,Yes,Daylight,8,58,No,Thika,Mombasa-Malindi Highway,24
68,2024-01-03,19:00:00,Moderate,Clear,Highway,2.9568979314363686,33.60061477817887,97.91515551006155,90,Yes,Night,3,57,Yes,Kisumu,Mombasa-Malindi Highway,32
69,2024-01-03,20:00:00,Minor,Rain,Intersection,2.064710357606811,5.0357218276441,67.38388982700046,50,Yes,Dusk,5,20,No,Nyeri,Nakuru-Eldoret Highway,25
70,2024-01-03,21:00:00,Severe,Fog,Urban,3.6370431162792265,22.0410515221019,84.68872244289528,120,Yes,Dusk,7,34,No,Thika,Kangundo Road,27
71,2024-01-03,22:00:00,Moderate,Clear,Highway,7.689139304042032,23.265194795148382,32.4329377351518,90,No,Daylight,4,19,No,Nyeri,Kisumu-Busia Road,15
72,2024-01-03,23:00:00,Minor,Fog,Urban,5.434165665287405,19.400296683179427,67.64837495206044,90,Yes,Daylight,5,32,No,Eldoret,Mombasa-Malindi Highway,6
73,2024-01-04,00:00:00,Minor,Snow,Rural,2.4463721044317692,7.516295768545929,59.42418273085972,120,No,Daylight,3,63,No,Nairobi,Uhuru Highway,24
74,2024-01-04,01:00:00,Moderate,Rain,Rural,8.839385742444389,5.843850150562631,60.3150120122947,50,Yes,Night,9,46,No,Kisumu,Mombasa-Malindi Highway,28
75,2024-01-04,02:00:00,Moderate,Fog,Rural,8.856027622039527,18.906731308108125,68.25324595377215,90,No,Night,9,67,No,Kisumu,Meru-Maua Road,59
76,2024-01-04,03:00:00,Moderate,Fog,Intersection,8.770495037937065,29.643825344467658,57.53591731290986,120,No,Dusk,7,65,No,Nyeri,Mombasa Road,29
77,2024-01-04,04:00:00,Moderate,Snow,Urban,2.768564008124623,32.869349156935826,42.906236930266594,50,Yes,Daylight,2,69,Yes,Kisumu,Thika Superhighway,41
78,2024-01-04,05:00:00,Minor,Fog,Rural,4.786773769719387,-0.7637678238496948,27.592269438054686,120,No,Daylight,7,39,No,Eldoret,Meru-Maua Road,26
79,2024-01-04,06:00:00,Minor,Fog,Highway,9.857401733338314,1.193144503908794,76.8581330913202,120,Yes,Daylight,7,21,No,Nakuru,Kangundo Road,28
80,2024-01-04,07:00:00,Minor,Snow,Rural,7.834118524944908,32.78945035132318,22.62724300031862,90,No,Daylight,5,74,No,Nakuru,Mombasa-Malindi Highway,19
81,2024-01-04,08:00:00,Moderate,Clear,Rural,0.7580905016428183,24.461409133391705,69.23543061544142,50,No,Night,9,69,No,Nyeri,Nyeri-Nanyuki Road,16
82,2024-01-04,09:00:00,Moderate,Snow,Rural,1.1194436169746744,30.319752993190924,23.333282264932663,90,No,Dusk,3,23,Yes,Nairobi,Thika Superhighway,50
83,2024-01-04,10:00:00,Minor,Clear,Intersection,4.907348079717162,3.1053053654137273,62.53301699544539,30,Yes,Dusk,4,55,No,Nyeri,Meru-Maua Road,35
84,2024-01-04,11:00:00,Minor,Rain,Highway,9.137591955684822,18.503434844376073,74.70782671290289,30,No,Night,1,43,No,Machakos,Uhuru Highway,47
85,2024-01-04,12:00:00,Minor,Clear,Urban,5.617667080550785,23.045583776698948,21.87138889065392,50,Yes,Daylight,6,28,No,Kisumu,Mombasa Road,35
86,2024-01-04,13:00:00,Minor,Clear,Highway,5.2292188263257575,22.204475417878907,5.994330086130828,120,No,Dusk,4,43,No,Kisumu,Kisumu-Busia Road,57
87,2024-01-04,14:00:00,Moderate,Rain,Urban,1.5020001495879907,11.326067634667925,13.097374299417408,90,No,Dusk,1,34,No,Nakuru,Thika Superhighway,34
88,2024-01-04,15:00:00,Moderate,Clear,Intersection,6.739410994880793,-4.384204332347661,60.59969672710255,90,No,Night,2,41,No,Thika,Kangundo Road,45
89,2024-01-04,16:00:00,Moderate,Snow,Intersection,8.309980025702142,18.317042272170525,84.94464062257356,50,No,Daylight,3,45,No,Nyeri,Nyeri-Nanyuki Road,24
90,2024-01-04,17:00:00,Minor,Clear,Intersection,4.113990071321842,5.12406156718435,4.499682123542437,50,No,Dusk,9,52,No,Nairobi,Uhuru Highway,12
91,2024-01-04,18:00:00,Minor,Rain,Intersection,7.868312583790611,13.010169845715613,73.41512590416463,30,No,Daylight,8,48,No,Nakuru,Kisumu-Busia Road,48
92,2024-01-04,19:00:00,Moderate,Snow,Urban,9.66252821205771,33.30324060335269,34.13186459500521,70,Yes,Dusk,7,30,No,Nyeri,Jogoo Road,34
93,2024-01-04,20:00:00,Moderate,Rain,Rural,2.4357813617130466,10.961412705697388,47.85283699195225,50,Yes,Night,4,71,No,Mombasa,Mombasa Road,39
94,2024-01-04,21:00:00,Minor,Rain,Urban,5.471631496350042,28.59206426657707,92.88595498455656,70,Yes,Daylight,1,52,No,Nairobi,Kisumu-Busia Road,25
95,2024-01-04,22:00:00,Moderate,Fog,Highway,3.227810601803468,2.5416242299700453,33.19715047358455,50,No,Night,8,33,No,Nairobi,Mombasa-Malindi Highway,51
96,2024-01-04,23:00:00,Minor,Fog,Intersection,8.032116980821474,21.898419921001153,46.5336933939486,120,Yes,Dusk,4,32,No,Kakamega,Nakuru-Eldoret Highway,44
97,2024-01-05,00:00:00,Minor,Rain,Intersection,5.987136975870996,34.08027817755774,1.3682414760681105,120,No,Night,3,60,No,Thika,Nyeri-Nanyuki Road,32
98,2024-01-05,01:00:00,Minor,Rain,Highway,6.5285329667278855,-0.9242759650825283,8.159872000483837,30,Yes,Night,9,35,No,Eldoret,Uhuru Highway,43
99,2024-01-05,02:00:00,Minor,Rain,Urban,8.080184516350993,-4.6672023109123195,25.859159113478402,30,Yes,Night,4,64,No,Nairobi,Kisumu-Busia Road,21
100,2024-01-05,03:00:00,Minor,Fog,Rural,4.261719490293322,12.343311705304572,2.7852240821074403,70,No,Dusk,4,54,No,Kakamega,Nakuru-Eldoret Highway,16
101,2024-01-05,04:00:00,Minor,Fog,Rural,9.193355649866911,-1.2949806779453121,63.1375326048251,50,No,Daylight,9,65,No,Kisumu,Kisumu-Busia Road,56
102,2024-01-05,05:00:00,Moderate,Clear,Highway,5.56377423883833,24.935373987049253,42.63983568016225,90,Yes,Night,2,79,No,Nyeri,Meru-Maua Road,54
103,2024-01-05,06:00:00,Minor,Clear,Rural,2.000570816935806,31.58194655394236,54.814520272802206,30,Yes,Daylight,5,65,No,Meru,Jogoo Road,22
104,2024-01-05,07:00:00,Minor,Rain,Urban,7.111041622603623,12.360838908350352,17.464718589632955,90,Yes,Dusk,4,66,No,Meru,Mombasa Road,51
105,2024-01-05,08:00:00,Severe,Snow,Urban,8.035982829163416,5.348465686217638,29.593202943661613,90,Yes,Daylight,9,58,No,Thika,Jogoo Road,59
106,2024-01-05,09:00:00,Minor,Snow,Highway,3.5092359321415034,12.37613276026439,66.38244748527251,50,No,Night,5,44,No,Kisumu,Meru-Maua Road,32
107,2024-01-05,10:00:00,Minor,Fog,Urban,8.643202941488154,23.937912714000042,96.53027236303998,70,Yes,Night,9,72,No,Nairobi,Kisumu-Busia Road,7
108,2024-01-05,11:00:00,Moderate,Fog,Intersection,9.10836092027478,-4.637833536785161,5.04167736022092,50,No,Night,9,52,No,Kisumu,Thika Superhighway,55
109,2024-01-05,12:00:00,Minor,Fog,Highway,3.130592630089185,18.578159579387886,89.03843208552661,30,No,Night,2,69,No,Kakamega,Nakuru-Eldoret Highway,19
110,2024-01-05,13:00:00,Minor,Rain,Urban,9.84345399079461,19.531667395495163,57.68812013112085,90,Yes,Night,9,62,No,Mombasa,Nyeri-Nanyuki Road,20
111,2024-01-05,14:00:00,Minor,Snow,Highway,1.836759516463205,20.50752987583742,56.39195667556237,50,No,Night,3,71,No,Eldoret,Kangundo Road,26
112,2024-01-05,15:00:00,Minor,Clear,Rural,2.419148849823655,4.6808831992350886,50.027853520776034,50,Yes,Dusk,4,52,No,Machakos,Nakuru-Eldoret Highway,58
113,2024-01-05,16:00:00,Severe,Rain,Urban,2.250135972761248,23.56210893512507,6.9394085904183385,50,No,Dusk,1,45,No,Eldoret,Jogoo Road,53
114,2024-01-05,17:00:00,Moderate,Clear,Intersection,8.992902245074768,-1.3443405467289438,8.987685173616066,30,No,Dusk,1,56,Yes,Nairobi,Nakuru-Eldoret Highway,35
115,2024-01-05,18:00:00,Moderate,Clear,Urban,6.715779247087138,2.9708134586720325,60.09120056590861,70,Yes,Daylight,1,78,No,Kisumu,Mombasa-Malindi Highway,35
116,2024-01-05,19:00:00,Moderate,Rain,Highway,1.9449906906115924,30.09880186617928,34.09585714355583,50,No,Daylight,9,55,No,Eldoret,Kisumu-Busia Road,5
117,2024-01-05,20:00:00,Moderate,Clear,Highway,4.6830724744993155,24.548926029062656,91.72680665776807,30,No,Dusk,8,26,No,Nyeri,Meru-Maua Road,15
118,2024-01-05,21:00:00,Minor,Snow,Urban,6.345331238163119,-4.45017783954619,40.659053735947225,90,Yes,Daylight,5,29,No,Eldoret,Nakuru-Eldoret Highway,10
119,2024-01-05,22:00:00,Moderate,Clear,Intersection,1.2929088073991413,4.935050414792009,14.328145870264109,120,No,Daylight,5,32,No,Kakamega,Nakuru-Eldoret Highway,27
120,2024-01-05,23:00:00,Minor,Snow,Intersection,8.882955499869718,3.5762593197265815,71.4718833502036,30,No,Night,9,38,No,Eldoret,Meru-Maua Road,13
121,2024-01-06,00:00:00,Moderate,Snow,Intersection,8.134233586694585,5.832253121478903,29.335342144100984,120,Yes,Night,3,69,Yes,Nyeri,Mombasa-Malindi Highway,56
122,2024-01-06,01:00:00,Moderate,Snow,Highway,5.299464348978063,4.902390811195456,52.54703073558932,50,Yes,Daylight,3,52,No,Machakos,Mombasa-Malindi Highway,20
123,2024-01-06,02:00:00,Minor,Fog,Urban,9.68770284496212,-2.4989481702861704,69.783278550517,50,No,Daylight,7,59,No,Machakos,Kangundo Road,42
124,2024-01-06,03:00:00,Minor,Clear,Rural,4.468729303113447,13.357620663872815,90.02641112020704,30,No,Dusk,9,50,No,Nyeri,Kangundo Road,48
125,2024-01-06,04:00:00,Minor,Rain,Highway,9.84904803084673,24.309338991446605,79.2191194801676,120,No,Daylight,6,68,Yes,Kisumu,Mombasa-Malindi Highway,23
126,2024-01-06,05:00:00,Minor,Rain,Intersection,6.845239988634457,19.269268988697455,67.63610678727241,50,Yes,Night,2,36,No,Mombasa,Thika Superhighway,49
127,2024-01-06,06:00:00,Moderate,Clear,Urban,6.5293770959124435,21.91486674392319,67.96331823951436,90,No,Daylight,1,72,No,Nairobi,Kangundo Road,17
128,2024-01-06,07:00:00,Moderate,Fog,Intersection,2.0765715053099574,-1.754032858550434,94.59246440320865,70,No,Dusk,2,40,No,Thika,Mombasa-Malindi Highway,36
129,2024-01-06,08:00:00,Minor,Fog,Rural,8.878313703894118,33.059628407071486,29.582409749653603,70,No,Night,1,30,No,Meru,Mombasa-Malindi Highway,40
130,2024-01-06,09:00:00,Minor,Snow,Intersection,4.5611520352458435,28.539673353720993,0.11120941961874076,50,No,Night,9,61,No,Kisumu,Nakuru-Eldoret Highway,13
131,2024-01-06,10:00:00,Minor,Clear,Intersection,2.041217354933554,27.20361273982651,27.19545593981987,120,No,Night,8,18,Yes,Eldoret,Kangundo Road,50
132,2024-01-06,11:00:00,Minor,Clear,Rural,0.6197714397697109,27.919352201670698,21.7891379626744,50,No,Night,7,68,No,Meru,Kisumu-Busia Road,50
133,2024-01-06,12:00:00,Minor,Rain,Urban,5.817678994564634,32.30842032531045,66.18345851139982,120,Yes,Daylight,3,46,No,Meru,Meru-Maua Road,53
134,2024-01-06,13:00:00,Minor,Clear,Highway,5.5102964101654255,16.77015864454791,63.3711599765529,90,Yes,Dusk,8,41,No,Nyeri,Meru-Maua Road,41
135,2024-01-06,14:00:00,Severe,Fog,Urban,7.333859412507007,3.0112807147050358,59.34613827047238,120,No,Daylight,2,33,No,Nakuru,Uhuru Highway,35
136,2024-01-06,15:00:00,Minor,Clear,Rural,8.95745150366912,19.671344314101646,1.62434432094537,50,No,Daylight,2,42,No,Mombasa,Nakuru-Eldoret Highway,35
137,2024-01-06,16:00:00,Minor,Rain,Intersection,1.2543625541087804,24.71525974671756,72.87780544506475,90,Yes,Night,3,72,No,Mombasa,Uhuru Highway,59
138,2024-01-06,17:00:00,Moderate,Snow,Urban,7.449216658233443,24.516695734161015,32.353041248549154,30,Yes,Dusk,7,40,No,Nakuru,Uhuru Highway,23
139,2024-01-06,18:00:00,Minor,Rain,Highway,2.280413468927031,15.857960966675204,66.50559890066312,70,Yes,Night,1,45,No,Nairobi,Nakuru-Eldoret Highway,6
140,2024-01-06,19:00:00,Severe,Rain,Rural,8.652682004993057,-2.261651226656878,55.65784285021533,50,No,Daylight,8,64,No,Nakuru,Kisumu-Busia Road,49
141,2024-01-06,20:00:00,Severe,Snow,Urban,8.281103381685732,9.844517537205114,34.27309254279072,50,No,Daylight,7,33,No,Thika,Thika Superhighway,36
142,2024-01-06,21:00:00,Minor,Rain,Highway,5.637540672362672,31.83066433853429,13.457626710410775,50,No,Night,4,60,No,Thika,Mombasa Road,47
143,2024-01-06,22:00:00,Minor,Rain,Rural,7.247306586921459,18.37795639029704,9.441889766048096,90,No,Daylight,5,73,No,Nyeri,Thika Superhighway,38
144,2024-01-06,23:00:00,Minor,Clear,Highway,3.48632607524561,16.533277730228537,83.15183331122236,30,Yes,Daylight,1,55,No,Eldoret,Kangundo Road,5
145,2024-01-07,00:00:00,Minor,Clear,Rural,4.976095039861739,5.754140575287741,91.8397542081558,120,Yes,Night,4,28,No,Meru,Mombasa-Malindi Highway,25
146,2024-01-07,01:00:00,Minor,Snow,Intersection,8.30555052824948,9.737956796663156,64.97880467642996,30,Yes,Daylight,1,20,No,Mombasa,Jogoo Road,7
147,2024-01-07,02:00:00,Moderate,Clear,Urban,4.863019373145532,30.81384356612677,10.343411486048337,90,Yes,Dusk,1,32,No,Mombasa,Nyeri-Nanyuki Road,31
148,2024-01-07,03:00:00,Minor,Clear,Highway,3.899083520591697,21.658521901073428,40.20272168882407,50,No,Night,1,18,No,Nakuru,Nakuru-Eldoret Highway,48
149,2024-01-07,04:00:00,Minor,Rain,Rural,5.195018248877849,26.495481070093312,72.89392001051573,70,No,Dusk,7,24,No,Nakuru,Thika Superhighway,11
150,2024-01-07,05:00:00,Minor,Fog,Highway,8.368367898153576,13.173816922706205,77.9820884010068,50,Yes,Daylight,7,18,No,Nakuru,Kisumu-Busia Road,37
151,2024-01-07,06:00:00,Severe,Clear,Highway,3.6844764500232907,20.209888778246317,11.82186222910886,120,Yes,Daylight,4,66,Yes,Nairobi,Thika Superhighway,13
152,2024-01-07,07:00:00,Minor,Fog,Urban,2.1507351347895662,4.9353443497283,0.003071884538241587,70,Yes,Night,2,49,No,Nakuru,Kangundo Road,34
153,2024-01-07,08:00:00,Minor,Clear,Intersection,7.264133193142417,23.218433211339452,71.2137045880605,50,Yes,Daylight,3,26,No,Eldoret,Mombasa-Malindi Highway,22
154,2024-01-07,09:00:00,Minor,Clear,Highway,8.346793020726778,12.10405334813349,35.659617598620564,70,Yes,Night,8,46,No,Meru,Uhuru Highway,30
155,2024-01-07,10:00:00,Severe,Snow,Rural,1.4560560459735665,12.701820592589822,25.448133161826025,30,No,Night,8,43,No,Kisumu,Meru-Maua Road,24
156,2024-01-07,11:00:00,Minor,Snow,Rural,2.778804071181475,20.972892983075266,1.289746978952544,90,No,Night,6,40,No,Kisumu,Jogoo Road,42
157,2024-01-07,12:00:00,Moderate,Snow,Intersection,1.848733902729442,32.451224858757065,54.02994067614997,50,Yes,Night,9,62,No,Eldoret,Thika Superhighway,45
158,2024-01-07,13:00:00,Moderate,Fog,Rural,3.805443410030583,-2.439746135655163,85.11507354259817,120,Yes,Night,9,60,No,Kakamega,Kisumu-Busia Road,59
159,2024-01-07,14:00:00,Minor,Rain,Intersection,4.77833429960142,27.989729493880304,95.76316462725879,30,Yes,Dusk,4,46,No,Thika,Mombasa Road,35
